product_id,title,category,material,compatibility,key_features,functions,other_attributes,processing_timestamp
29,Pure Daily Care Luma - 4 in 1 Skin Therapy Wand - Ion Therapy LED Light Machine - Wave Stimulation- Massage - Anti Aging - Lift & Firm Tighten Skin Wrinkles,Skin Care,,USA based brand,"LED Light Therapy, Bio-Wave Mode, Ionic Channeling, Massage Mode","Address aging, Address blemish and pigmentation concerns, Stimulate skin for a firmer and lifted appearance, Deep clean the skin, Apply serums and creams to deeper layers of the skin, Stimulate facial muscles, Promote microcirculation and lymphatic drainage",USA based brand,2026-01-30 12:59:11.032124
31,Engraved Desk Name Plate for Home Office - Beautiful Custom Desk Name Plate for Business Professional & Office Staff,Office Supplies,Rosewood,,"Engraved, Desk Name Plate, Stylish, Memorable, Customizable",,"For Home Office, For Business Professional, For Office Staff",2026-01-30 13:01:26.637585
32,H2H Mens Casual Slim Fit Turtleneck Pullover Knit Lightweight Sweaters Shirts,Men's Casual Wear,"Polyester 95%, Spandex 5%",Slim Fit,"Lightweight, Slim Fit, Heather Color, Mock Neck, Elasticity, Layering",,"Suitable for Spring, Fall, and Winter, Soft, Good for Layering, Unique Twisted Patterned, Rib Knitted Fabric, Pointed Patch on Shoulder",2026-01-30 13:06:40.458953
33,"Senston Tennis Rackets for Adults 27 inch Tennis Racquets - 2 Player Tennis Racket Set with 3balls,2 Grips, 2 Vibration Dampers",Sports > Tennis > Equipment > Rackets,"['Aluminium', 'Carbon Fiber']",['Suitable for Adults'],"Lightweight, Impact resistance, Good shock absorption effect, High intensity and durability","Hit well, Reduce vibration, Improve comfort","2 Player Tennis Racket Set, 2 TENNIS BALL, 2 Vibration Dampers, 2 OVERGRIP, 1 RACKET COVER",2026-01-30 13:13:02.886771
34,"Veken French Press Coffee Maker (34 oz), 304 Stainless Steel Coffee Press with 4 Filter Screens, Durable Easy Clean Heat Resistant Borosilicate Glass - 100% BPA Free, Black","Home & Kitchen > Coffee, Tea & Espresso > Coffee Makers","{'glass': 'Borosilicate', 'metal': '304 Stainless Steel'}",Manual,"Double mesh filter, Heat-resistant borosilicate glass, BPA Free, Durable, Easy Clean",Manual Coffee Making,"100% BPA Free, Black, 34 oz, User-friendly, Elegant Design, Affordable",2026-01-30 13:20:02.721379
36,Uinkit Hot Thermal Laminating Pouches 5Mil Thick for Extra Protection 11.5x17.5 inches Laminating Sheets for Sealed 11x17inches Document and Photo 50 Pack A3 Menu Taloid Size,Office Supplies,"Thermal Laminating Pouches, 5Mil Thick",11.5x17.5 inches,"Extra Protection, Sealed Documents and Photos",Laminating,Rounded Corners,2026-01-30 13:25:36.906520
37,ADOME Crop Top for Women Mesh Tee Shirt Plus Size Sheer Blouse Long/Short Sleeve Black XX-Large,Women's Clothing > Blouses > Mesh Blouses > Crop Tops,Mesh,Plus Size,"Long Sleeve, Sheer, Mesh, Crop Top, Plus Size",,"Color: Black, Size: XX-Large",2026-01-30 13:28:46.149282
38,"LB World Map Tapestry Wall Hanging Various Cartoon Animals Tapestrise World Distribution Map Wall Decor Blanket for Kids Bedroom Living Room Dorm Decor, 60Wx40H inches",Wall Decor,Polyester,Indoor/Outdoor,"High resolution pictures, Vivid colors, Durable, Hand-sewn finished edges",,"Size: 60Wx40H inches (150x100cm), Applicable to everyone, Customizable, Different sizes and pictures available",2026-01-30 13:35:16.543392
39,Grateful Dead: The Illustrated Trip,Music,Hardcover,N/A,"More than 1,000 images, Fully authorized, Essential companion for fans, Fascinating glimpse into the counterculture movement",,Beautifully illustrated,2026-01-30 13:38:19.888945
40,"Pool RX 101001 6 Month Algaecide Blue Treats 7.5k-20k gallons, Single, Unit",Pool Chemicals,Minerals,"{'chlorine': True, 'salt': True, 'uv': True, 'ozone': True}","EPA Registered, NSF/ANSI 50 Certified, 7.5k-20k gallons capacity, Continuously eliminates algae, Rejuvenated during filtration process",Algaecide,Ideal for Residential and Commercial pools,2026-01-30 13:43:43.894987
41,"Thermos The Rock Vacuum Insulated 1 Liter Beverage Bottle, stainless steel/black, 1.1 quart (2510TRI2)",Outdoor,Stainless Steel,,"Vacuum Insulation Technology, Durable Stainless Steel Material",Transporting large quantities of water,"Rigid, ergonomic handle, Doubles as a drinking container",2026-01-30 13:46:53.234854
43,Easton DELUXE Baseball Pant | Youth Sizes | Solid,Baseball,"Moisture-wicking Bio-Dri, UV-protective fabric",,"Moisture-wicking, UV-protection",,"Youth Sizes, Solid",2026-01-30 13:49:14.661650
44,"SHARP 24 in 1.2 cu. ft. Sharp IoT + Easy Wave Open, Stainless Steel Convection Microwave Drawer",Appliances > Microwaves,Stainless Steel,['Alexa'],"Convection Microwave Drawer, Dual Convection Fans, Turntable-Free Baking, Roasting, Grilling, Air Frying, Smart-Home Ready, Alexa Compatibility, Sharp Kitchen App, Easy Wave Open, Built-In Airflow Control, Flush Mounting",,"120V Standard U.S. Household Outlet, Concealed, Touch Glass Controls",2026-01-30 13:53:35.139690
